node_index,node_id,node_type,node_name,node_source,node_classification
1,7918,gene_protein,GPANK1,NCBI,Gene
2,8233,gene_protein,ZRSR2,NCBI,Gene
3,4899,gene_protein,NRF1,NCBI,Gene
4,5297,gene_protein,PI4KA,NCBI,Gene
5,6564,gene_protein,SLC15A1,NCBI,Gene
7,10826,gene_protein,FAXDC2,NCBI,Gene
8,4489,gene_protein,MT1A,NCBI,Gene
9,6272,gene_protein,SORT1,NCBI,Gene
10,4041,gene_protein,LRP5,NCBI,Gene
11,6202,gene_protein,RPS8,NCBI,Gene
13,65005,gene_protein,MRPL9,NCBI,Gene
15,1958,gene_protein,EGR1,NCBI,Gene
17,85289,gene_protein,KRTAP4-5,NCBI,Gene
18,6872,gene_protein,TAF1,NCBI,Gene
19,10451,gene_protein,VAV3,NCBI,Gene
20,3846,gene_protein,KRTAP5-9,NCBI,Gene
21,3163,gene_protein,HMOX2,NCBI,Gene
22,2353,gene_protein,FOS,NCBI,Gene
23,5611,gene_protein,DNAJC3,NCBI,Gene
25,4609,gene_protein,MYC,NCBI,Gene
26,9064,gene_protein,MAP3K6,NCBI,Gene
28,114791,gene_protein,TUBGCP5,NCBI,Gene
30,1759,gene_protein,DNM1,NCBI,Gene
34,55739,gene_protein,NAXD,NCBI,Gene
35,57709,gene_protein,SLC7A14,NCBI,Gene
37,1186,gene_protein,CLCN7,NCBI,Gene
38,891,gene_protein,CCNB1,NCBI,Gene
39,22809,gene_protein,ATF5,NCBI,Gene
42,5307,gene_protein,PITX1,NCBI,Gene
43,5295,gene_protein,PIK3R1,NCBI,Gene
45,3238,gene_protein,HOXD12,NCBI,Gene
46,28969,gene_protein,BZW2,NCBI,Gene
48,344387,gene_protein,CDKL4,NCBI,Gene
49,84988,gene_protein,PPP1R16A,NCBI,Gene
50,2114,gene_protein,ETS2,NCBI,Gene
52,28511,gene_protein,NKIRAS2,NCBI,Gene
54,6790,gene_protein,AURKA,NCBI,Gene
55,6434,gene_protein,TRA2B,NCBI,Gene
56,10524,gene_protein,KAT5,NCBI,Gene
57,30012,gene_protein,TLX3,NCBI,Gene
59,6125,gene_protein,RPL5,NCBI,Gene
61,801,gene_protein,CALM1,NCBI,Gene
64,9129,gene_protein,PRPF3,NCBI,Gene
65,10291,gene_protein,SF3A1,NCBI,Gene
67,4233,gene_protein,MET,NCBI,Gene
68,1869,gene_protein,E2F1,NCBI,Gene
69,5810,gene_protein,RAD1,NCBI,Gene
70,3866,gene_protein,KRT15,NCBI,Gene
74,151,gene_protein,ADRA2B,NCBI,Gene
76,4682,gene_protein,NUBP1,NCBI,Gene
78,7428,gene_protein,VHL,NCBI,Gene
80,675,gene_protein,BRCA2,NCBI,Gene
81,166,gene_protein,TLE5,NCBI,Gene
82,1122,gene_protein,CHML,NCBI,Gene
83,1175,gene_protein,AP2S1,NCBI,Gene
84,4809,gene_protein,SNU13,NCBI,Gene
88,26121,gene_protein,PRPF31,NCBI,Gene
89,135932,gene_protein,TMEM139,NCBI,Gene
92,1203,gene_protein,CLN5,NCBI,Gene
93,1847,gene_protein,DUSP5,NCBI,Gene
94,9921,gene_protein,RNF10,NCBI,Gene
97,10159,gene_protein,ATP6AP2,NCBI,Gene
100,10484,gene_protein,SEC23A,NCBI,Gene
101,10455,gene_protein,ECI2,NCBI,Gene
102,7182,gene_protein,NR2C2,NCBI,Gene
104,10946,gene_protein,SF3A3,NCBI,Gene
105,7580,gene_protein,ZNF32,NCBI,Gene
106,3169,gene_protein,FOXA1,NCBI,Gene
108,1111,gene_protein,CHEK1,NCBI,Gene
110,6839,gene_protein,SUV39H1,NCBI,Gene
113,11325,gene_protein,DDX42,NCBI,Gene
115,84277,gene_protein,DNAJC30,NCBI,Gene
116,841,gene_protein,CASP8,NCBI,Gene
117,23137,gene_protein,SMC5,NCBI,Gene
119,2113,gene_protein,ETS1,NCBI,Gene
122,8646,gene_protein,CHRD,NCBI,Gene
123,6789,gene_protein,STK4,NCBI,Gene
127,3662,gene_protein,IRF4,NCBI,Gene
128,120939,gene_protein,TMEM52B,NCBI,Gene
130,2623,gene_protein,GATA1,NCBI,Gene
131,1053,gene_protein,CEBPE,NCBI,Gene
132,353132,gene_protein,LCE1B,NCBI,Gene
133,1460,gene_protein,CSNK2B,NCBI,Gene
134,23013,gene_protein,SPEN,NCBI,Gene
135,5499,gene_protein,PPP1CA,NCBI,Gene
137,7107,gene_protein,GPR137B,NCBI,Gene
143,5573,gene_protein,PRKAR1A,NCBI,Gene
146,4222,gene_protein,MEOX1,NCBI,Gene
147,1946,gene_protein,EFNA5,NCBI,Gene
150,2261,gene_protein,FGFR3,NCBI,Gene
153,1874,gene_protein,E2F4,NCBI,Gene
154,2332,gene_protein,FMR1,NCBI,Gene
155,1107,gene_protein,CHD3,NCBI,Gene
